clause_id,clause_text,jurisdiction,clause_type,monthly_rent_bracket,legal_basis,risk_label,label_source,rationale,monthly_rent_bracket_raw,legal_basis_raw,flagged_for_review
DEL-NL-009,Lock-in period of 11 months applies with no provision for early exit even in case of job relocation or emergency.,delhi,notice_lockin,above_3500,market_convention,Caution,synthetic,Full-term lock-in with zero exit flexibility is rigid compared to common market practice allowing negotiated early exit.,above_3500,market_convention,False
DEL-NL-010,Tenant may terminate the agreement early by providing 2 months' notice and forfeiting one month's deposit as an early-exit charge.,delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Reasonable, clearly defined early-exit mechanism with proportionate charge.",above_3500,market_convention,False
DEL-MR-001,"Landlord shall be responsible for structural repairs, while tenant shall bear minor day-to-day maintenance costs.",delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Standard, balanced allocation of repair responsibility.",above_3500,market_convention,False
DEL-MR-002,Major repairs including plumbing and electrical fittings shall be undertaken by the landlord at his own cost.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,Landlord bearing major/structural repair costs is standard practice.,above_3500,market_convention,False
DEL-MR-003,"Tenant shall bear the cost of all repairs during the tenancy, including structural and major appliance repairs, except in case of natural disaster.",delhi,maintenance,above_3500,market_convention,Caution,synthetic,Shifting structural repair burden onto tenant is an overreach compared to standard practice.,above_3500,market_convention,False
DEL-MR-004,"Any repair cost incurred by the tenant shall be reimbursed by the landlord only upon prior written approval, without a defined response timeline.",delhi,maintenance,above_3500,market_convention,Caution,synthetic,Lack of a defined approval/reimbursement timeline creates room for indefinite delay.,above_3500,market_convention,False
DEL-MR-005,"Tenant shall bear full responsibility for all repairs and maintenance, including structural damage, regardless of cause.",delhi,maintenance,above_3500,general_law,High Risk,synthetic,Making tenant liable for structural damage regardless of cause (including landlord's own building defects) is an unreasonable risk transfer.,above_3500,general_law,False
DEL-MR-006,Any deduction from the security deposit for repairs shall be at the landlord's sole discretion without supporting invoices.,delhi,maintenance,above_3500,market_convention,High Risk,synthetic,Unsupported unilateral deductions lack the accountability expected in a fair deposit-return process.,above_3500,market_convention,False
DEL-MR-007,"Society maintenance charges shall be borne by the tenant, while property tax and structural repairs remain the landlord's responsibility.",delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Standard, commonly accepted split of recurring vs. structural costs.",above_3500,market_convention,False
DEL-MR-008,Tenant shall pay for pest control and appliance servicing on a quarterly basis regardless of actual need.,delhi,maintenance,above_3500,market_convention,Caution,synthetic,"Mandatory recurring charges regardless of actual need are an unusual, tenant-unfavorable cost structure.",above_3500,market_convention,False
DEL-MR-009,Landlord shall maintain the premises in a habitable condition and undertake essential repairs as required to keep the property fit for occupation.,delhi,maintenance,le_3500,statutory,Safe,rule_based,"Reflects the landlord's general obligation to maintain habitability, consistent with tenant protection intent of the DRCA.",le_3500,statutory,False
DEL-MR-010,"Landlord shall not be liable for any repairs during the tenancy under any circumstances, including basic habitability issues like water leakage or electrical faults.",delhi,maintenance,above_3500,general_law,High Risk,synthetic,Blanket waiver of landlord's basic habitability obligations is an extreme and unenforceable risk transfer.,above_3500,general_law,False
DEL-RE-001,"Rent shall be increased by not more than 10%, once in three years, with at least 30 days' written notice, as per Delhi Rent Control Act provisions applicable to this tenancy.",delhi,rent_escalation,le_3500,statutory,Safe,rule_based,"Section 6A permits a ten-per-cent increase every three years, while Section 8 requires written notice and makes the increase recoverable after expiry of 30 days from notice.",le_3500,statutory,False
DEL-RE-002,Rent shall increase by 5% annually with one month's written notice prior to each revision.,delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,Modest annual escalation with reasonable advance notice; standard market practice.,above_3500,market_convention,False
DEL-RE-003,Rent shall increase by 10% annually with 15 days' notice before each revision.,delhi,rent_escalation,above_3500,market_convention,Caution,synthetic,Shorter notice than the conventional 1-3 month range gives tenant little time to plan around the increase.,above_3500,market_convention,False
DEL-RE-004,"Rent may be revised annually at landlord's discretion based on prevailing market rates, without a defined percentage cap.",delhi,rent_escalation,above_3500,market_convention,Caution,synthetic,"Open-ended, undefined escalation basis creates unpredictability for the tenant.",above_3500,market_convention,False
DEL-RE-005,Landlord may increase rent at any time during the tenancy without prior notice to the tenant.,delhi,rent_escalation,above_3500,general_law,High Risk,synthetic,"No-notice, any-time rent increase during a fixed term contradicts basic contractual fairness and typical practice.",above_3500,general_law,False
DEL-RE-006,Rent shall increase by 25% every six months for the duration of the tenancy.,delhi,rent_escalation,above_3500,market_convention,High Risk,synthetic,25% biannual escalation is a significant outlier vs. typical 5-10% annual market convention.,above_3500,market_convention,False
DEL-RE-007,"Rent shall remain fixed for the duration of the 11-month agreement, with revision only upon renewal by mutual consent.",delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,"Fixed-term rent with mutual-consent renewal revision is standard, tenant-favorable practice.",above_3500,market_convention,False
DEL-RE-008,"Rent shall be increased by 10% every year instead of once in three years as generally applicable under the Delhi Rent Control Act, 1958 for Act-covered tenancies.",delhi,rent_escalation,le_3500,statutory,Caution,synthetic,Exceeds the standard revision frequency described in secondary sources for Act-covered tenancies -- verify against primary Section text.,le_3500,statutory,False
DEL-RE-009,Any refusal by tenant to accept a rent increase shall be treated as grounds for immediate eviction without notice.,delhi,rent_escalation,above_3500,general_law,High Risk,synthetic,Treating rent-increase refusal as automatic eviction grounds bypasses due legal process entirely.,above_3500,general_law,False
DEL-RE-010,Any increase in rent shall be mutually agreed upon in writing and shall not exceed the percentage specified in this agreement.,delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,Requires mutual written agreement and a defined cap; fair and predictable structure.,above_3500,market_convention,False
DEL-TE-001,"Either party may terminate this agreement with 30 days' written notice, without assigning any reason.",delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,"Standard, symmetric no-fault termination clause.",above_3500,market_convention,False
DEL-TE-002,"Tenant shall be evicted only on grounds recognized under Section 14 of the Delhi Rent Control Act, 1958, including non-payment of rent or bona fide requirement by the landlord, subject to Rent Controller's order.",delhi,termination_eviction,le_3500,statutory,Safe,rule_based,Correctly reflects statutory eviction grounds and due-process requirement for Act-covered tenancies.,le_3500,statutory,False
DEL-TE-003,Landlord may terminate the agreement without cause upon 15 days' written notice.,delhi,termination_eviction,above_3500,market_convention,Caution,synthetic,Short 15-day notice for landlord-initiated no-cause termination is less than the more common 30-60 day range.,above_3500,market_convention,False
DEL-TE-004,"Tenant agrees to vacate immediately upon landlord's request, without recourse to legal process.",delhi,termination_eviction,above_3500,general_law,High Risk,synthetic,"Attempts to contractually waive tenant's right to due legal eviction process, which cannot be lawfully waived.",above_3500,general_law,False
DEL-TE-005,Landlord may forcibly remove tenant's belongings and re-let the premises if rent is delayed beyond 7 days.,delhi,termination_eviction,above_3500,general_law,High Risk,synthetic,Self-help eviction and forcible removal of belongings is illegal regardless of rent delay duration.,above_3500,general_law,False
DEL-TE-006,Landlord may disconnect water and electricity supply to compel the tenant to vacate.,delhi,termination_eviction,above_3500,general_law,High Risk,synthetic,Utility disconnection as a pressure tactic to force eviction is a widely recognized illegal practice.,above_3500,general_law,False
DEL-TE-007,"In the event of termination, both parties shall settle outstanding dues and hand over/accept vacant possession within 7 days.",delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,"Clear, balanced handover process with a reasonable timeline.",above_3500,market_convention,False
DEL-TE-008,"Tenant shall be liable for the remaining lock-in period's rent in full if agreement is terminated early, regardless of reason.",delhi,termination_eviction,above_3500,market_convention,Caution,synthetic,'Regardless of reason' framing is inflexible even for legitimate emergencies; common but tenant-unfavorable.,above_3500,market_convention,False
DEL-TE-009,Tenant waives all rights to legal notice or hearing in case of eviction for any reason whatsoever.,delhi,termination_eviction,above_3500,general_law,High Risk,synthetic,Blanket waiver of legal notice/hearing rights is unenforceable; due process cannot be contractually waived.,above_3500,general_law,False
DEL-TE-010,"Eviction proceedings, if any, shall be conducted through the Rent Controller as prescribed under the Delhi Rent Control Act, 1958, ensuring due process for the tenant.",delhi,termination_eviction,le_3500,statutory,Safe,rule_based,Correctly reflects the due-process requirement for Act-covered tenancy eviction.,le_3500,statutory,False
DEL-SD-011,"Security deposit of 2 months' rent to be refunded within 10 days of vacation, subject to deduction for unpaid utility bills and damages beyond normal wear and tear.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic,"Quick refund, standard deposit amount, and deductions limited to legitimate items.",above_3500,market_convention,False
DEL-SD-012,"Deposit equivalent to 4 months' rent, refundable within 60 days after deduction for any repair costs as determined by landlord.",delhi,security_deposit,above_3500,market_convention,Caution,synthetic,4 months is above typical 2-3 month range; 60-day refund is long; landlord's sole determination lacks transparency.,above_3500,market_convention,False
DEL-SD-013,"Security deposit shall be 3 months' rent and shall be refunded within 30 days of the tenant vacating, provided the tenant has given proper notice.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic,Standard deposit amount and reasonable refund timeline; condition of proper notice is usual.,above_3500,market_convention,False
DEL-SD-014,Deposit of 8 months' rent shall be held as security and refunded within 45 days after deducting all outstanding dues.,delhi,security_deposit,above_3500,market_convention,Caution,synthetic,"8 months is a significant outlier; 45 days is longer than typical, though not illegal; caution warranted.",above_3500,market_convention,False
DEL-SD-015,"Security deposit shall be adjusted against the last three months' rent, and no refund shall be made.",delhi,security_deposit,above_3500,general_law,High Risk,synthetic,"Adjustment against final rent without any refund or surplus handling leaves tenant with no right to excess deposit, which is unfair.",above_3500,general_law,False
DEL-SD-016,"Deposit of 2 months' rent to be refunded within 30 days of vacating, with a detailed statement of deductions provided.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic,"Standard deposit, reasonable timeline, and requirement for itemized deduction statement.",above_3500,market_convention,False
DEL-SD-017,"Tenant shall pay a security deposit of 6 months' rent, which shall be non-refundable in case of any breach by tenant.",delhi,security_deposit,above_3500,market_convention,Caution,synthetic,6 months is above market norm; non-refundable for 'any breach' is overly broad and may lead to unfair forfeiture.,above_3500,market_convention,False
DEL-SD-018,"Security deposit of 3 months' rent shall be refunded within 15 days of vacating, subject to deduction for unpaid rent and utilities only.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic,"Standard deposit, prompt refund, and deductions explicitly limited to rent and utilities.",above_3500,market_convention,False
DEL-SD-019,"Deposit equal to 10 months' rent shall be collected and refunded within 90 days of vacating, with interest at 5% per annum.",delhi,security_deposit,above_3500,market_convention,High Risk,synthetic,"10 months is highly extreme; 90-day refund is very long; even with interest, this deviates drastically from market practice.",above_3500,market_convention,False
DEL-SD-020,"Security deposit shall be kept in a separate bank account and returned within 21 days of vacating, with an itemized list of deductions.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic,"Good practice: separate account, prompt refund, and itemized deductions enhance tenant protection.",above_3500,market_convention,False
DEL-SD-021,"Security deposit shall not exceed the limit prescribed under the Delhi Rent Control Act, 1958, and shall be refunded within 15 days of vacating.",delhi,security_deposit,le_3500,general_law,Caution,synthetic,The DRCA source reviewed does not state a general two-month security-deposit cap. Treating the clause as compliance with a specific DRCA deposit limit could misstate the law.,le_3500,general_law,False
DEL-NL-011,Either party may terminate by giving 60 days' written notice.,delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Symmetric, longer notice period is reasonable and gives both parties ample time.",above_3500,market_convention,False
DEL-NL-012,"Lock-in period of 6 months, early exit allowed with 2 months' notice and forfeiture of 50% of deposit.",delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Moderate lock-in, clear early-exit mechanism with a proportionate forfeiture.",above_3500,market_convention,False
DEL-NL-013,Tenant shall give 3 months' notice to vacate; landlord may give 30 days' notice.,delhi,notice_lockin,above_3500,market_convention,Caution,synthetic,Asymmetric notice periods strongly favor the landlord and disadvantage the tenant.,above_3500,market_convention,False
DEL-NL-014,"Lock-in of 24 months, with no early termination except by mutual consent.",delhi,notice_lockin,above_3500,market_convention,Caution,synthetic,Very long lock-in period; lack of exit flexibility can be harsh for tenants.,above_3500,market_convention,False
DEL-NL-015,"Landlord may terminate immediately if tenant causes nuisance, without notice.",delhi,notice_lockin,above_3500,general_law,High Risk,synthetic,Immediate termination without notice for subjective 'nuisance' bypasses due process and is unenforceable.,above_3500,general_law,False
DEL-NL-016,Tenant must give one month's notice; landlord must give two months' notice.,delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Symmetric in favor of tenant; gives tenant extra time to plan, which is fair.",above_3500,market_convention,False
DEL-NL-017,"Lock-in period of 11 months, tenant may exit early by paying 2 months' rent as penalty.",delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,Clear early-exit penalty; 2 months' rent is a reasonable charge for breaking the lock-in.,above_3500,market_convention,False
DEL-NL-018,No lock-in period; either party may terminate with 15 days' notice.,delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,"Flexible, short notice period; no lock-in gives tenant freedom to vacate easily.",above_3500,market_convention,False
DEL-NL-019,Landlord may terminate with 7 days' notice for non-payment of rent.,delhi,notice_lockin,above_3500,market_convention,Caution,synthetic,"7 days is very short notice for non-payment; although rent default is serious, this may not give tenant time to remedy.",above_3500,market_convention,False
DEL-NL-020,Tenant waives all rights to notice before eviction for any reason.,delhi,notice_lockin,above_3500,general_law,High Risk,synthetic,Blanket waiver of notice rights is unenforceable; eviction requires due process irrespective of contract.,above_3500,general_law,False
DEL-NL-021,"Lock-in period of 3 months, with early termination allowed on 30 days' notice without penalty.",delhi,notice_lockin,above_3500,market_convention,Safe,synthetic,Short lock-in and penalty-free exit after notice is tenant-friendly and reasonable.,above_3500,market_convention,False
DEL-MR-011,"Tenant to pay for all minor repairs, landlord for major structural repairs.",delhi,maintenance,above_3500,market_convention,Safe,synthetic,Standard split of maintenance responsibilities.,above_3500,market_convention,False
DEL-MR-012,Landlord shall be responsible for repairs to the building structure and common areas.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Clearly assigns structural and common-area repairs to landlord, which is typical.",above_3500,market_convention,False
DEL-MR-013,Tenant shall bear cost of all repairs up to Rs. 5000 per year; beyond that landlord pays.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Caps tenant's repair liability at a reasonable amount, leaving larger expenses to landlord.",above_3500,market_convention,False
DEL-MR-014,"Landlord shall not be liable for any repairs, including plumbing and electrical.",delhi,maintenance,above_3500,general_law,High Risk,synthetic,"Exempting landlord from all repairs, especially essential systems, is extreme and likely unenforceable.",above_3500,general_law,False
DEL-MR-015,Tenant shall maintain the garden and terrace; landlord maintains the building structure.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Clear division: tenant handles external areas, landlord keeps structural integrity.",above_3500,market_convention,False
DEL-MR-016,Any repair request by tenant must be in writing; landlord shall respond within 7 days.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Requires written request and sets a reasonable response timeline, ensuring accountability.",above_3500,market_convention,False
DEL-MR-017,Tenant shall be responsible for all maintenance charges including society fees and property taxes.,delhi,maintenance,above_3500,market_convention,Caution,synthetic,Property taxes are usually borne by landlord; shifting them to tenant is unusual and may be unfair.,above_3500,market_convention,False
DEL-MR-018,Landlord shall reimburse tenant for emergency repairs up to Rs. 2000 without prior approval.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,Allows tenant to address emergencies quickly and ensures reimbursement for small amounts.,above_3500,market_convention,False
DEL-MR-019,"Tenant shall carry out all routine maintenance and major repairs at his own cost, except for defects arising from landlord's negligence.",delhi,maintenance,above_3500,market_convention,Caution,synthetic,"Shifting major repairs to tenant is an overreach; only exception is landlord's negligence, which may be difficult to prove.",above_3500,market_convention,False
DEL-MR-020,Landlord shall ensure the property is in habitable condition and shall carry out all necessary repairs within a reasonable time.,delhi,maintenance,le_3500,statutory,Safe,synthetic,Reflects the basic habitability obligation for Act-covered tenancies; reasonable timeline is fair.,le_3500,statutory,False
DEL-MR-021,Tenant shall be responsible for painting and whitewashing at the end of the tenancy.,delhi,maintenance,above_3500,market_convention,Safe,synthetic,"Typical clause requiring tenant to restore paint/wash, which is acceptable as it is cosmetic.",above_3500,market_convention,False
DEL-RE-011,"Rent shall increase by 5% every year, with 2 months' notice.",delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,Low annual increase and long notice period are fair and predictable.,above_3500,market_convention,False
DEL-RE-012,"Rent shall increase by 15% annually, with 30 days' notice.",delhi,rent_escalation,above_3500,market_convention,Caution,synthetic,Higher than typical escalation and short notice make it challenging for tenant to budget.,above_3500,market_convention,False
DEL-RE-013,Rent shall be revised every two years based on CPI index.,delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,"Objective, inflation-linked adjustment is transparent and fair.",above_3500,market_convention,False
DEL-RE-014,Landlord may increase rent at any time by any amount.,delhi,rent_escalation,above_3500,general_law,High Risk,synthetic,Unfettered discretion to raise rent without any cap or notice is fundamentally unfair and likely unenforceable.,above_3500,general_law,False
DEL-RE-015,"Rent shall increase by 10% every 12 months, with 1 month's notice.",delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,Common 10% annual escalation with standard notice period.,above_3500,market_convention,False
DEL-RE-016,"Rent shall remain fixed for 2 years, then may be revised by mutual consent.",delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,Fixed rent for a considerable period and mutual consent for revision is tenant-friendly.,above_3500,market_convention,False
DEL-RE-017,"Rent shall increase by 20% every year, with 15 days' notice.",delhi,rent_escalation,above_3500,market_convention,High Risk,synthetic,20% annual hike is extreme; 15 days notice is insufficient; clearly a high-risk clause.,above_3500,market_convention,False
DEL-RE-018,Rent shall increase only upon renewal of the agreement.,delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,"Predictable: rent stays same during the term, changes only at renewal, which is acceptable.",above_3500,market_convention,False
DEL-RE-019,"Landlord may increase rent by up to 10% every three years, as per DRCA for applicable tenancies.",delhi,rent_escalation,le_3500,statutory,Safe,synthetic,Complies with the DRCA rent revision norm for Act-covered tenancies.,le_3500,statutory,False
DEL-RE-020,Rent shall be increased every 6 months at 5%.,delhi,rent_escalation,above_3500,market_convention,Caution,synthetic,"Biannual increases, even if small, create frequent adjustments that may burden the tenant.",above_3500,market_convention,False
DEL-RE-021,"Rent shall be fixed for the first year, then may be increased by 10% annually with 3 months' notice.",delhi,rent_escalation,above_3500,market_convention,Safe,synthetic,Initial fixed term followed by a moderate annual increase with ample notice.,above_3500,market_convention,False
DEL-TE-011,Either party may terminate with 30 days' notice.,delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,"Standard, symmetric notice period.",above_3500,market_convention,False
DEL-TE-012,Tenant shall be evicted for non-payment of rent after 15 days' notice.,delhi,termination_eviction,above_3500,market_convention,Caution,synthetic,15 days is short but common; still may not give tenant enough time to pay arrears.,above_3500,market_convention,False
DEL-TE-013,"Landlord may evict tenant for causing nuisance, with 7 days' notice.",delhi,termination_eviction,above_3500,market_convention,Caution,synthetic,Short notice and subjective 'nuisance' ground may be abused; caution advised.,above_3500,market_convention,False
DEL-TE-014,Tenant shall vacate on expiry of the agreement; no notice required.,delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,"Natural expiry, no notice needed; it's a standard practice.",above_3500,market_convention,False
DEL-TE-015,Landlord may lock out tenant for any breach of agreement.,delhi,termination_eviction,above_3500,general_law,High Risk,synthetic,Self-help lockout is illegal; any breach does not justify forcible exclusion.,above_3500,general_law,False
DEL-TE-016,Eviction shall be carried out only through court order.,delhi,termination_eviction,le_3500,statutory,Safe,synthetic,Properly mandates judicial process for eviction in Act-covered tenancies.,le_3500,statutory,False
DEL-TE-017,Tenant shall be liable for all legal costs in case of eviction proceedings.,delhi,termination_eviction,above_3500,market_convention,Caution,synthetic,"While not illegal, shifting all legal costs to tenant could be onerous; common but worth flagging.",above_3500,market_convention,False
DEL-TE-018,Landlord may terminate the agreement without cause upon 30 days' notice.,delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,Symmetric no-cause termination with reasonable notice is acceptable.,above_3500,market_convention,False
DEL-TE-019,Tenant shall not be entitled to any compensation or relocation assistance upon eviction.,delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,No compensation is typical; landlords are not generally required to provide relocation assistance.,above_3500,market_convention,False
DEL-TE-020,"Agreement terminates automatically upon tenant's death, and heirs must vacate within 15 days.",delhi,termination_eviction,above_3500,market_convention,Caution,synthetic,Automatic termination upon death may be harsh for heirs; 15 days is short to arrange vacating.,above_3500,market_convention,False
DEL-TE-021,Either party may terminate the tenancy by giving one month's notice; no reason required.,delhi,termination_eviction,above_3500,market_convention,Safe,synthetic,"Standard, symmetric no-fault termination.",above_3500,market_convention,False
DEL-SD-022,"Tenant shall pay a refundable security deposit equal to one month's rent, with deductions limited to documented unpaid dues or tenant-caused damage.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic_augmented,"Low deposit with defined, documented deductions is commercially clear and tenant-protective.",above_3500,market_convention,False
DEL-SD-023,"Tenant shall pay a refundable security deposit equal to two months' rent, refundable after final meter readings and settlement of documented dues.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic_augmented,Two months is within common market practice and the settlement process is defined.,above_3500,market_convention,False
DEL-SD-024,"Tenant shall pay a refundable security deposit equal to three months' rent, with any deduction supported by an itemized statement.",delhi,security_deposit,above_3500,market_convention,Safe,synthetic_augmented,Three months is a common market benchmark and itemization improves transparency.,above_3500,market_convention,False
DEL-SD-025,"Tenant shall pay a refundable security deposit equal to four months' rent, refundable within 30 days after vacant possession.",delhi,security_deposit,above_3500,market_convention,Caution,synthetic_augmented,"Four months is above the common 2–3 month benchmark, though it is not by itself a DRCA violation for rent above ₹3,500.",above_3500,market_convention,False
DEL-SD-026,"Tenant shall pay a refundable security deposit equal to six months' rent, with refund subject to an itemized account of deductions.",delhi,security_deposit,above_3500,market_convention,Caution,synthetic_augmented,"Six months is a significant market outlier and should be negotiated, but the amount is not automatically illegal under the DRCA for rent above ₹3,500.",above_3500,market_convention,False
DEL-SD-027,"Tenant shall pay a refundable security deposit equal to ten months' rent, refundable within 30 days after handover.",delhi,security_deposit,above_3500,market_convention,High Risk,synthetic_augmented,"Ten months is an extreme market outlier and creates substantial tenant exposure even though there is no general DRCA cap for rent above ₹3,500.",above_3500,market_convention,False
DEL-SD-028,The security deposit shall be treated as non-refundable once the tenant gives notice to vacate.,delhi,security_deposit,above_3500,general_law,High Risk,synthetic_augmented,A blanket non-refund rule defeats the ordinary purpose of a refundable security deposit and is heavily tenant-disadvantageous.,above_3500,general_law,False
DEL-SD-029,Landlord may deduct any amount from the security deposit for any reason considered appropriate by the landlord.,delhi,security_deposit,above_3500,general_law,High Risk,synthetic_augmented,Unlimited unilateral deductions without objective criteria or evidence create an abusive and unpredictable deduction mechanism.,above_3500,general_law,False
DEL-SD-030,"The security deposit shall be refunded only after the landlord is fully satisfied with the property's condition, with no maximum refund period.",delhi,security_deposit,above_3500,general_law,Caution,synthetic_augmented,A subjective condition combined with no deadline creates a risk of indefinite withholding.,above_3500,general_law,False
